area,perimeter,aspect_ratio,circularity,solidity,equivalent_diameter,mean_hue,mean_saturation,mean_value,lbp_mean,edge_density,hu1,hu2,hu3,label
6130,306.3502858877182,1.25,0.8207932166990694,0.9979649979649979,88.34567566794964,14.384176182707993,79.80261011419249,111.49216965742251,5.028221859706362,63.72920065252855,1.807100363732912,6.466309021734112,13.00750926640421,coconut
6094,300.93607211112976,1.25,0.8455977478174151,0.9981164523790025,88.08587733352086,13.720708893994093,78.96504758779128,111.4865441417788,5.038562520511979,71.88874302592714,1.8092142260045,6.5355894531893055,14.383892744730778,coconut
6956,316.7350605726242,1.0869565217391304,0.8713189470297181,1.0033898305084745,94.10979902846351,23.62837837837838,66.69436457734331,89.9426394479586,4.932001150086257,46.080362277170785,1.8306174305123666,8.131738671025962,12.824650174230541,coconut
6109,298.93607223033905,1.2658227848101267,0.8590596905943422,1.0021325459317585,88.19421964498076,13.826649206089376,82.19790473072516,108.65509903421182,4.982812244229825,72.2966115567196,1.802870177593411,6.320488872401619,14.020327517714612,coconut
5871,300.10764515399933,1.2658227848101267,0.8191582814811916,0.9903010879649152,86.45917746046477,14.671435871231477,75.9771759495827,112.59989780275933,5.01907681825924,65.62851303014818,1.816305845523241,6.872891175786762,14.102844302297797,coconut
6649,326.1492760181427,1.0434782608695652,0.785476794899632,0.965862870424172,92.00961761111768,15.184388629869153,80.28500526394947,106.16814558580238,4.88509550308317,72.59963904346519,1.8333466545195451,9.773392912612252,13.082795595754778,coconut
6260,305.3797240257263,0.79,0.8435363471686897,1.0023216716035546,89.27754224911278,14.47891373801917,85.8835463258786,114.33626198083067,5.068370607028754,70.14536741214057,1.8029322576142792,6.326790459606445,11.965830019378668,coconut
5928,307.90663492679596,1.2195121951219512,0.7857419931854718,0.9836555214469427,86.8778684199264,13.948549257759785,82.00185560053981,110.13377192982456,5.007591093117409,65.38461538461539,1.82203991574795,7.280881143183137,11.953365252964106,coconut
6110,301.279217839241,1.2658227848101267,0.8458877271353846,1.0,88.20143773392724,15.255646481178395,80.44975450081833,112.04435351882161,5.011456628477905,72.61865793780687,1.8041504707508262,6.370324046923925,12.437996797081258,coconut
6345,307.03657722473145,0.79,0.8457874923786632,1.000788643533123,89.88161609219434,15.816548463356973,84.55776201733649,115.27139479905438,5.038297872340426,72.46099290780141,1.8055733939614973,6.408728472620523,12.838009799014877,coconut
6187,303.27921867370605,0.79,0.8452879441180408,1.0013757384478432,88.75546779368835,15.80588330370131,84.97607887506061,112.87990948763536,5.039437530305479,72.29190237594958,1.800459128381362,6.26159989986811,11.41999811248532,coconut
6143,301.27921760082245,1.2658227848101267,0.8504563528669193,1.0014672318226279,88.43930417697838,15.180530685332899,83.15855445222203,107.17239133973628,5.006837050301156,73.34934071300667,1.8021664912369062,6.303744864036956,14.991820993953583,coconut
6109,309.42135405540466,0.83,0.8018246890959378,0.9870738406850864,88.19421964498076,15.482894090685873,83.88279587493861,109.74382059256834,5.075298739564577,66.16058274676706,1.8042731112108608,6.386996428256292,13.945423183649327,coconut
6843,320.8355665206909,1.1111111111111112,0.8353940759771352,0.9954178485708052,93.34226376418519,16.009352623118517,82.8255151249452,104.6941399970773,4.896098202542745,81.16177115300307,1.8296491583517047,8.081539734445316,11.802364892070635,coconut
6245,304.20815086364746,0.79,0.8480092983197778,0.9995198463508322,89.17051618596301,15.325220176140913,85.34491593274619,113.62834267413932,5.040992794235389,69.61969575660528,1.8025379595653783,6.322737334264299,11.699535599025557,coconut
5917,310.8355677127838,1.2345679012345678,0.7695733468465124,0.9817487970798076,86.79722568261015,14.603177285786716,81.61382457326347,109.47946594558053,5.032786885245901,69.21243873584586,1.8212253233245987,7.220616113494498,11.768420985503635,coconut
6122,300.8355668783188,0.81,0.8500506988245082,1.0008992070628628,88.28800877168239,15.85249918327344,81.24648807579223,110.6751061744528,5.056844168572362,69.35233583796145,1.8049980700500192,6.431299970608481,11.939375290110446,coconut
6574,314.9777023792267,1.0869565217391304,0.8326834681453711,0.997496396328048,91.48921667108623,20.180255552175236,67.90873136598722,102.98494067538789,4.903407362336477,57.446759963492546,1.83410263782558,10.201569406729265,10.751209211681472,coconut
6129,306.3502856492996,1.25,0.8206593202249328,0.9979646666123911,88.33846936460814,13.640724424865393,80.24098547887094,111.18893783651492,5.020558002936857,67.56730298580518,1.8074053715693728,6.473117554204438,13.360456323109796,coconut
6344,306.10764479637146,1.2195121951219512,0.8507945251154398,1.0003942284948355,89.87453294343105,14.46516393442623,85.69609079445145,103.96279949558638,5.002522068095838,77.73802017654477,1.8116738486311597,6.6400115530258335,20.68277891858214,coconut
6118,303.52185904979706,1.1176470588235294,0.8345250731726075,0.9952822515047991,88.25916119412038,14.138770840143838,82.20970905524682,109.95505067015364,4.974828375286041,64.22932330827068,1.828431668474618,8.000484350554947,11.69966341816826,coconut
7240,333.3208485841751,1.0,0.8188860496044043,0.9907629148135477,96.0117404481482,27.537292817679557,61.27209944751381,93.30980662983426,4.901519337016574,43.533149171270715,1.8345436690584371,11.10861240981518,10.954650365456192,coconut
6053,298.35028517246246,1.2658227848101267,0.8545306084718421,1.0035646190831469,87.78905947942454,14.858086899058318,84.97009747232777,104.41764414339997,4.955063604824054,76.08293408227325,1.8049075117898485,6.393026625476899,16.334365739306172,coconut
